Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2016 PROFESSIONAL ELECTRICAL ENGINEERING SERVICES PANEL - PARASYN CONTROLS PTY LTD,13/02/2017,915789,AUD,Parasyn Controls Pty Ltd,45 Millennium Place Tingalpa QLD 4173,YES,NO,OPEN,,,,,,,,CW2251896,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 - ACCESSIBILITY TRANSFORMATION,10/03/2022,879876,AUD,Deloitte Touche Tohmatsu,123 Eagle Street Brisbane QLD 4000,YES,NO,OPEN,,,,,,,,CW2299644,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 CRR SEMS GAP ANALYSIS,13/10/2021,870000,AUD,CWG Project Servics,6-10 O'Connell Street Sydney NSW 2000,YES,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2295352,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 INSURANCE BROKERAGE SERVICES,12/07/2022,858000,AUD,AON Risk Services Aust Ltd,GPO Box 65 Brisbane QLD 4001,NO,NO,OPEN,,,,,,,,CW2300487,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","2021 SUPPLY, INSTALLATION, COMMISSIONING AND TRAINING OF WHEEL PROFILE MONITORING SYSTEM STANDING OFFER ARRANGEMENT",14/12/2021,815462,AUD,Wabtec Control Systems,355 Scarborough Beach Road Osborne Park WA 6017,NO,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2302729,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 MAYNE CONTROL CENTRE FIRE SYSTEM RENEWAL,11/02/2022,675000,AUD,CVSG Asset Services Pty Ltd,PO Box 3260 Hendra QLD 4011,YES,NO,OPEN,,,,,,,,CW2299111,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,7/01/2022,578080.3,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,LIMITED,Sole Source / Technical constraint,,,,,,,4502550547,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 CRR OPERATIONAL SCENARIOS - ASSURANCE REVIEW,24/01/2022,575000,AUD,DB Engineering & Consulting,141 Walker Street North Sydney NSW 2060,YES,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2297480,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QITC - 2022 PROVISION OF RAILSYS SUPPORT AND MAINTENANCE,1/07/2022,522000,AUD,Rail Management Cons Int Aus P/L,22 Mitchell Street Darwin NT 800,NO,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2301882,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QRC - 2022 CONSULTANCY DIGITAL ARCHITECTURE FOUNDATION,6/05/2022,499960,AUD,FromHereOn Pty Ltd,10-20 Gwynne Street Cremorne VIC 3121,YES,NO,,,,,,,,,CW2300564,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 - ELECTRICAL ENGINEER CONSULTANT-MO KAMRUDDIN,20/01/2022,453600,AUD,2XM Recruit Pty Ltd,85 South Perth Esplanade South Perth WA 6151,YES,NO,,,,,,,,,CW2296101,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 COACHING AND DEVELOPMENT PANEL - ACCENTURE,27/07/2022,400000,AUD,Accenture Australia Holdings Pty Lt,3 Sussex street Barangaroo NSW 2000,NO,NO,,,,,,,,,CW2303007,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 COACHING AND DEVELOPMENT PANEL - CHANDLER MACLEOD,27/07/2022,400000,AUD,Chandler MacLeod Group Ltd,PO Box 49 Mulgrave VIC 3170,NO,NO,,,,,,,,,CW2303011,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 COACHING AND DEVELOPMENT PANEL - CONVERGE INTERNATIONAL,27/07/2022,400000,AUD,Converge International Pty Ltd,255 Bourke Street Melbourne VIC 3000,NO,NO,,,,,,,,,CW2303013,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 COACHING AND DEVELOPMENT PANEL - DAVIDSON HR CONSULTING,27/07/2022,400000,AUD,Davidson HR Consulting Pty Ltd,GPO Box 2572 Brisbane QLD 4000,NO,NO,,,,,,,,,CW2303015,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 COACHING AND DEVELOPMENT PANEL - HUDSON,27/07/2022,400000,AUD,Hudson Global Resources,66 Eagle Street Brisbane QLD 4000,NO,NO,,,,,,,,,CW2303025,,,,,
