Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,27/09/2022,"15,494.60",AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,4502576509,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,15/09/2022,"15,034.14",AUD,Mt Marrow Blue Metal,237 Mt Marrow Quarry Road Haigslea QLD 4306,NO,NO,,,,,,,,,4502575134,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/08/2022,"15,023.80",AUD,Voith Turbo Pty Ltd,23-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,4502574110,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,27/09/2022,"14,850.00",AUD,Ultimate Australia Transportation,23 Carl Court Hallam VIC 3803,NO,NO,,,,,,,,,4502576588,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FUELS LUBES AND OILS,9/12/2022,"14,810.40",AUD,Imtram Pty Ltd,PO Box 4460 Ringwood VIC 3134,NO,NO,,,,,,,,,4502574473,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,26/09/2022,"14,748.56",AUD,Vinidex Pty Ltd,224 Musgrave Road Coopers Plains QLD 4108,NO,NO,,,,,,,,,4502576402,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,9/09/2022,"14,718.00",AUD,Market & Communications,161a Arthur Street Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502574334,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,28/09/2022,"14,612.40",AUD,SMEC Australia Pty Ltd,PO Box 2211 Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502576958,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,9/08/2022,"14,591.50",AUD,CJD Equipment Pty Ltd,36 Colebard Street East Acacia Ridge QLD 4110,NO,NO,,,,,,,,,4502573945,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,16/05/2022,"14,497.84",AUD,Ryno Fencing,PO Box 3386 Bracken Ridge QLD 4017,YES,NO,,,,,,,,,4502532363,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,9/01/2022,"14,405.02",AUD,NOW Office Furniture,50 Charters Towers Road Hermit Park QLD 4812,NO,NO,,,,,,,,,4502572915,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,21/09/2022,"14,382.50",AUD,HWC Group Pty Ltd,61 Canterbury Road Emerald QLD 4720,NO,NO,,,,,,,,,4502575976,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,9/05/2022,"14,305.50",AUD,RJ Earthworks Qld Pty Ltd,PO Box 443 Gatton QLD 4343,NO,NO,,,,,,,,,4502573281,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",9/02/2022,"14,256.00",AUD,Ultimate Australia Transportation,23 Carl Court Hallam VIC 3803,NO,NO,,,,,,,,,4502573001,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,14/09/2022,"14,159.20",AUD,Westermo Data Communications Pty Lt,277 Lane Cove Road Macquarie Park NSW 2113,NO,NO,,,,,,,,,4502574997,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","METAL BARS,SHT/SHAPE",9/12/2022,"14,132.95",AUD,LM Engineering,PO Box 1343 Mareeba QLD 4880,NO,NO,,,,,,,,,4502574494,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,20/09/2022,"14,080.00",AUD,Deloitte Touche Tohmatsu,123 Eagle Street Brisbane QLD 4000,YES,NO,,,,,,,,,4502575869,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/12/2022,"14,067.90",AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,,,,,,,,,4502574367,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,14/09/2022,"13,970.00",AUD,Schunk Carbon Technology Pty Ltd,44 Jellico Drive Scoresby VIC 3179,NO,NO,,,,,,,,,4502575030,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,26/09/2022,"13,970.00",AUD,Machinery Inspection Services,134 Peel Road Ningi QLD 4511,NO,NO,,,,,,,,,4502576406,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/09/2022,"13,871.00",AUD,Vossloh Cogifer Australia Pty Ltd,PO Box 1248 Castlemaine VIC 3450,NO,NO,,,,,,,,,4502575710,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,9/07/2022,"13,818.66",AUD,Electrical Workshop Australia Pty L,10 Barnett Place Molendinar QLD 4214,NO,NO,,,,,,,,,4502573794,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,19/09/2022,"13,805.00",AUD,MHF Group QLD,PO Box 7129 Hemmant QLD 4174,NO,NO,,,,,,,,,4502575632,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/01/2022,"13,801.70",AUD,Heavy Haul Trailers,PO Box 602 Archerfield QLD 4108,NO,NO,,,,,,,,,4502572843,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,21/09/2022,"13,750.00",AUD,KPMG,71 Eagle Street Brisbane QLD 4000,NO,NO,,,,,,,,,4502575934,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,17/08/2022,"13,720.43",AUD,Value Added Asset Management Pty Lt,29 Sudbury Street Darra QLD 4076,YES,NO,,,,,,,,,4502564390,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,20/04/2022,"13,646.60",AUD,Western Downs Traffic Control,PO Box 157 Dalby QLD 4405,YES,NO,,,,,,,,,4502524036,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,28/09/2022,"13,379.30",AUD,Dell Computer Pty Ltd,PO Box 91 Frenchs Forest NSW 2086,NO,NO,,,,,,,,,4502576892,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,21/09/2022,"13,182.40",AUD,HMF Engineering (Qld) Pty Ltd,PO Box 148 Crows Nest QLD 4355,NO,NO,,,,,,,,,4502575986,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/08/2022,"13,162.07",AUD,Loram Pty Ltd,60 Castlereagh Street Sydney NSW 2000,YES,NO,,,,,,,,,4502562895,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,9/07/2022,"13,128.50",AUD,Computer Alliance Pty Ltd,PO Box 75 Mount Gravatt QLD 4122,NO,NO,,,,,,,,,4502573821,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FREIGHT & CARTAGE,13/09/2022,"13,106.31",AUD,Peter Hogan Transport Pty Ltd,1 Cudumble Road Cumnock NSW 2867,YES,NO,,,,,,,,,4502574707,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,15/09/2022,"13,068.00",AUD,AFL Telecommunications Australia Pt,93-97 Merrindale Drive Croydon South VIC 3136,NO,NO,,,,,,,,,4502575253,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,9/12/2022,"13,002.00",AUD,Andersens Stafford,284 Belgrave Esplenade Sylvania Waters NSW 2224,NO,NO,,,,,,,,,4502574413,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/09/2022,"12,988.80",AUD,Powerbox Australia Pty Ltd,PO Box 128 Mount Kuring-Gai NSW 2080,NO,NO,,,,,,,,,4502584228,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/09/2022,"12,986.88",AUD,PRM Engineering Services Pty Ltd,30 Gardens Drive Willawong QLD 4110,NO,NO,,,,,,,,,4502575449,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,9/12/2022,"12,977.25",AUD,MacTrans Heavy Haulage Pty Ltd,144 Coulson Street Wacol QLD 4076,NO,NO,,,,,,,,,4502574464,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,29/03/2022,"12,841.80",AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,YES,NO,,,,,,,,,4502519063,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,13/09/2022,"12,811.54",AUD,Civil Mining & Construction,35 Island Plantation Road Maryborough QLD 4650,NO,NO,,,,,,,,,4502574618,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,9/08/2022,"12,757.80",AUD,Diverse Worx,PO Box 3050 South Brisbane QLD 4101,NO,NO,,,,,,,,,4502574020,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,15/09/2022,"12,665.40",AUD,Diverse Worx,PO Box 3050 South Brisbane QLD 4101,NO,NO,,,,,,,,,4502575108,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,14/09/2022,"12,551.00",AUD,Industrial Hydraulics Pty Ltd,121 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,4502574985,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,23/09/2022,"12,529.00",AUD,Prosci,PO Box 1507 Rozelle NSW 2039,NO,NO,,,,,,,,,4502576131,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,27/09/2022,"12,511.13",AUD,Ashley Benoit & Co Pty Ltd,PO Box 6761 Silverwater NSW 2128,NO,NO,,,,,,,,,4502576542,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,28/09/2022,"12,360.26",AUD,Langford Metal Industries Pty Ltd,44 Curtin Avenue West Eagle Farm QLD 4009,NO,NO,,,,,,,,,4502576911,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,15/09/2022,"12,281.50",AUD,Specialised Force Pty Ltd,68 Northlink Place Northgate QLD 4013,NO,NO,,,,,,,,,4502575183,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,26/09/2022,"12,117.16",AUD,Wulguru Steel Pty Ltd,PO Box 2144 Wulguru QLD 4811,NO,NO,,,,,,,,,4502576383,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,14/09/2022,"12,021.13",AUD,Grazing Pines,337 Pilerwa Road Mungar QLD 4650,NO,NO,,,,,,,,,4502574847,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,14/09/2022,"11,880.00",AUD,Strategic Health Services Pty Ltd,PO Box 4034 Tinana QLD 4650,NO,NO,,,,,,,,,4502574866,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,27/09/2022,"11,880.00",AUD,Olive Media (Australasia) Pty Ltd,PO Box 486 Hamilton QLD 4007,NO,NO,,,,,,,,,4502576635,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,27/09/2022,"11,880.00",AUD,Olive Media (Australasia) Pty Ltd,PO Box 486 Hamilton QLD 4007,NO,NO,,,,,,,,,4502576636,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,9/09/2022,"11,785.31",AUD,Thee Rail Specialists Pty Ltd,PO Box 550 Springwood QLD 4127,NO,NO,,,,,,,,,4502574289,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,16/06/2022,"11,774.02",AUD,Austbreck Pty Ltd,19 Southern Court Keysborough VIC 3173,YES,NO,,,,,,,,,4502542900,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,9/01/2022,"11,713.78",AUD,Haymans Electrical,Cnr Musgrave & Miles Streets Rockhampton MC QLD 4700,NO,NO,,,,,,,,,4502572860,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CLEANING EQUIP & SUP,9/12/2022,"11,713.59",AUD,Pacific National Industries Pty Ltd,98 Benjamin Place Lytton QLD 4178,NO,NO,,,,,,,,,4502574437,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,21/06/2022,"11,642.35",AUD,JWB Construction Pty Ltd,26 BLUE EAGLE DRIVE MEADOWBROOK QLD 4131,YES,NO,,,,,,,,,4502544000,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/05/2022,"11,596.07",AUD,CoachAir Pty Ltd,52 Falcum Street Richland QLD 4077,YES,NO,,,,,,,,,4502535821,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,30/09/2022,"11,573.10",AUD,SMEC Australia Pty Ltd,PO Box 2211 Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502584120,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,23/09/2022,"11,496.84",AUD,Downer EDI Rail,71B Elizabeth Street Wetherill Park NSW 2164,NO,NO,,,,,,,,,4502576248,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,21/09/2022,"11,473.00",AUD,Smart Engineering (QLD) Pty Ltd,101 Randolph Street Rocklea QLD 4106,NO,NO,,,,,,,,,4502576002,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,9/12/2022,"11,437.80",AUD,EN DE TEK Australia Pty Ltd,2 Apollo Street Warriewood NSW 2102,NO,NO,,,,,,,,,4502574518,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/04/2022,"11,402.53",AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,YES,NO,,,,,,,,,4502522825,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",9/12/2022,"11,208.23",AUD,Boral Resources Qld Pty Ltd,Cnr Anzac & Alderley Streets Toowoomba QLD 4350,NO,NO,,,,,,,,,4502574421,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,14/09/2022,"11,189.20",AUD,Diverse Worx,PO Box 3050 South Brisbane QLD 4101,NO,NO,,,,,,,,,4502574994,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,15/09/2022,"11,189.20",AUD,Diverse Worx,PO Box 3050 South Brisbane QLD 4101,NO,NO,,,,,,,,,4502575215,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,27/09/2022,"11,088.00",AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,4502576716,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,5/09/2022,"11,068.97",AUD,All Rail Services Pty Ltd,12 Banka Avenue Jacobs Well QLD 4208,YES,NO,,,,,,,,,4502573349,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,9/12/2022,"11,026.40",AUD,Total Tools Virginia,1 Thomas Holt Dr Macquarie Park NSW 2113,NO,NO,,,,,,,,,4502574493,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Other Direct Professional Services,24/03/2022,"11,000.00",AUD,Minter Ellison,1 Eagle Street Brisbane Waterfront Place QLD 4000,YES,NO,,,,,,,,,4502516183,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PREFAB STRUCT SCAFF,9/01/2022,"10,912.00",AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,4502572852,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,28/09/2022,"10,838.30",AUD,B&R Enclosure Pty Ltd,51 Stradbroke Street Heathwood QLD 4110,NO,NO,,,,,,,,,4502576784,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CLOTHING & UNIFORMS,13/09/2022,"10,797.60",AUD,The Workwear Group Pty Ltd,848 Gympie Road Chermside QLD 4032,NO,NO,,,,,,,,,4050459017,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Other Direct Professional Services,16/09/2022,"10,778.90",AUD,Arup Australia Pty Ltd,151 Clarence Street Sydney NSW 200,YES,NO,,,,,,,,,4502575310,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,3/08/2022,"10,647.45",AUD,Track Protection Services Pty Ltd,PO Box 421 Mapleton QLD 4560,YES,NO,,,,,,,,,4502562048,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,14/09/2022,"10,626.00",AUD,Airlube Australasia,268 Camboon Road Malaga WA 6090,NO,NO,,,,,,,,,4502574986,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,29/09/2022,"10,560.00",AUD,Back on Track Injury Prevention & M,24 Majestic Oulook Seven Hills QLD 4170,NO,NO,,,,,,,,,4502582476,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,26/09/2022,"10,549.00",AUD,Goodies Excavations Pty Ltd,646 Marlborough Sarina Road Sarina QLD 4737,NO,NO,,,,,,,,,4502576426,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/12/2022,"10,538.00",AUD,Pandrol Australia Pty Ltd,7 Bessemer Street Blacktown NSW 2148,NO,NO,,,,,,,,,4502574477,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,20/09/2022,"10,520.40",AUD,Western Downs Traffic Control,PO Box 157 Dalby QLD 4405,NO,NO,,,,,,,,,4502575819,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/08/2022,"10,500.82",AUD,Australian Rail Technology Pty Ltd,10 Brennan Close Hornsby NSW 2077,NO,NO,,,,,,,,,4502574041,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,19/09/2022,"10,472.00",AUD,Origin Fencing Pty Ltd,PO Box 7157 Hemmant QLD 4174,NO,NO,,,,,,,,,4502575546,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,18/07/2022,"10,398.00",AUD,Track Protection Services Pty Ltd,PO Box 421 Mapleton QLD 4560,YES,NO,,,,,,,,,4502554875,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/06/2022,"10,290.27",AUD,Cooper Fluid Systems Pty Ltd,152 Cobalt Street Carole Park QLD 4300,NO,NO,,,,,,,,,4502573614,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FREIGHT & CARTAGE,31/08/2022,"10,231.58",AUD,Peter Hogan Transport Pty Ltd,1 Cudumble Road Cumnock NSW 2867,YES,NO,,,,,,,,,4502572728,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CLEANING EQUIP & SUP,9/12/2022,"10,120.00",AUD,Graffiti - Enz,194 Breakfast Creek Road Newstead QLD 4006,NO,NO,,,,,,,,,4502574365,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",31/08/2022,"10,048.50",AUD,Boral Resources Qld Pty Ltd,Cnr Anzac & Alderley Streets Toowoomba QLD 4350,YES,NO,,,,,,,,,4502572683,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,28/09/2022,"10,039.70",AUD,SMEC Australia Pty Ltd,PO Box 2211 Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502576954,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,28/09/2022,"10,039.70",AUD,SMEC Australia Pty Ltd,PO Box 2211 Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502576955,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,28/09/2022,"10,039.70",AUD,SMEC Australia Pty Ltd,PO Box 2211 Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502576959,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,28/01/2021,"10,034.20",AUD,SMEC Australia Pty Ltd,PO Box 2211 Fortitude Valley QLD 4006,YES,NO,,,,,,,,,4502394245,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",DATA PROCESSNG EQUIP,30/08/2022,"20,000.00",United States Dollar,RStudio Inc,250 Northern Ave Boston MA 2210,YES,NO,,,,,,,,,4502571995,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 - NETWORK PROTECTION OFFICER SERVICES PANEL - JBE,27/10/2022,"15,000,000.00",AUD,JBE Services,PO Box 5107 Brendale QLD 4500,NO,NO,OPEN,,Member of Panel,Unlimited,"Support Team - 20%
Capacity - 15%
Quality and Compliance - 10%
Safety - 20%
Methodology - 10%
Ability to comply to  Scope of Work - 10%
Local Content - 5%
Pricing - 10%",Supply of Network Protection Officer Services,Not applicable,"The Contractor’s performance and measurement against the KPIs will be reviewed every six months and at a minimum every twelve months. The Contractors’ performances will be rated on each KPI using the following categories:
? Superior: means the Contractor’s work was exemplary and attracted praise. Further, the Contractor has demonstrated exceptional ability and was proactive in respect of issues raised in relation to the Services provided. Achieved a 100% KPI score.
? Adequate: means that there were no significant errors and/or omissions and that the Contractor has demonstrated adequate ability to meet milestones and other requirements and respond to issues raised in relation to the Services provided, KPI score has either minor non compliances or remedial action has been successful.
? Unsatisfactory: means that the Contractor’s work had significant errors and/or omissions and that the Contractor was generally not responsive or available regarding business issues raised in relation to the Services provided. KPI measurements showed failure to meet more than 1 KPI with associated remedial action proving to be inadequate or ineffective.",CW2304528,,CW2304295,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 TABLELANDS BRIDGE REPLACEMENT,30/09/2022,"11,600,000.00",AUD,Doval Constructions,PO Box 116 Sumner Park QLD 4074,NO,NO,OPEN,,Stand-alone,Unlimited,"Mandatory Criteria - Rating
Contractor Safety & Environment Management Pre-qualification (Category 1) - Pass/Fail
Department of Transport and Main Roads Prequalification - Pass/Fail
Mandatory Site Inspection - Pass/Fail

Non-Price Criteria - Weighting (80%)
1. Company Profile, Capability and Experience - 10%
2. Proposed Construction Delivery Methodology & Project Risk - 20%
3. Proposed Program of Work - 20%
4. Resourcing of Project Management Team & Depth of Alternative Resources for Key Positions - 10%
5. Quality Assurance, Environmental Management, Workplace Health & Safety Management - 10%
6. Local Benefits - 10%

Price Criteria - Weighting (20%)
1. Lump Sum Price for Separable Portion 1 - 7%
2. Lump Sum Price for Separable Portion 2 - 7%
3. Lump Sum Price for Separable Portion 3 - 6%
TOTAL	100%","Tablelands Bridge Replacement, between Kuranda and Forsayth","Mareeba - Almaden; Chainage (47.100 km) - Construct Only (QR-C-D91250)
Mareeba – Almaden; Chainage (109.200 km) - Construct Only (QR-C-D91253)
Almaden - Mt. Surprise; Chainage (50.650 km) - Construct Only (QR-C-D91251)
Almaden - Forsayth; Chainage (99.240 km) - Construct Only (QR-C-D91252)
Almaden – Forsayth; Chainage (125.510 km) - Construct Only (QR-C-D91254)
Almaden - Forsayth; Chainage (76.810 km) - Design & Construct
Almaden - Forsayth; Chainage (81.600 km) - Design & Construct
Almaden – Forsayth; Chainage (139.940 km) - Design & Construct
Almaden – Forsayth; Chainage (215.320 km) - Design & Construct
Almaden – Forsayth; Chainage (222.120 km) - Design & Construct
Mareeba – Almaden; Chainage (78.570 km) - Design & Construct","The Superintendent must, on a monthly basis:
- score the Contractor’s performance in a form to be determined by the Superintendent; and
- provide that completed form to the Contractor for any comments.
The Contractor must in a timely manner take all reasonable steps to provide comments on the completed performance form provided by the Superintendent",CW2303919,,,,,
