Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACK RENEWAL & MAINTENANCE,12/07/2021,48260000,AUD,Loram Pty Ltd,60 Castlereagh Street Sydney NSW 2000,NO,NO,OPEN,,Stand-alone,Unlimited,"WORK HEALTH & SAFETY (WHS) - 12.5%
ABILITY TO MEET THE PROFILE - 18.75%
GRINDING MACHINE TYPES, MAINLINE & TURNOUTS, AVAILABILITY & FLEXIBILITY - 18.75%
METHODOLOGY & RISK ASSESMENT - 12.5%
MITIGATION MEASURES FOR NEW PROJECTS - 6.25%
TRACK RECORDING VEHICLE & GRINDING QUALITY - 12.5%
TECHNICAL SPECIFICATION, INTERFACE STANDARDS & ANTICIPATED GQI OUTCOMES - 12.5%
PROPOSED STABLING ARRANGEMENT & LOCATION - 6.25%

Non-Price Criteria Weighted Score - 80%
Price Criteria Weighted Score - 20%",Provide Rail Grinding Services,"The specific Grinding Services to be provided are as follows:
- Main line grinding Services for all regions listed below
- Turnout grinding Services for all regions listed below
The following regions for rail grinding to be conducted is as follows
- South East Queensland (SEQ)
- North Coast Line NCL (North) - Cairns-Rockhampton
- North Coast Line NCL (Near North/South) - Parana - Tamaree
- GNR – Townsville to Mt Isa
- West Moreton System – Toowoomba to Columboola
The scope of services is to control the wheel rail interface so that rail grinding will:
- progressively establish rail profiles that optimise the wheel/rail interface condition to maximise the life of the rail and wheel asset,
- maintain rail profiles to optimise the rail/wheel interface to prevent the development of rail defects and
- remove or control existing rail surface defects and rail head metal flow.
The timeline to plan & deliver rail grinding Services shall be as outlined in the detailed Statement of Works. The stages of Services shall be planned in sufficient advance times to ensure that all of Queensland Rail’s possession planning, operational, freight business, environmental & safety requirements are timely met and also Queensland Rail’s resources are made available to support the rail grinding services delivered by the Contractor.","The performance is measured by the following KPIs:
Grind Quality Index (GQI) or similar
Performance/Efficient Delivery of Agreed Scope
Work Free of Lost Time Injuries (LTIs)
Work free of SPADs (Signal Passed At Danger)
Administration of the Agreement",CW2282208,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TELECOMS/DATA/VOICE,9/07/2021,25500000,AUD,Telstra Corporation Limited,Locked Bag 5000 Burwood VIC 3125,NO,NO,OPEN,,Stand-alone,Unlimited,"Non-Price Criteria:

Mobility Services
1. Capability & Capacity - 20%
2. Methodology - 15%
3. Value for Money - 10%
4. Technical Conformance - 55%

Fixed Data
1. Capability & Capacity - 20%
2. Methodology - 25%
3. Value for Money - 10%
4. Technical Conformance - 45%

Fixed Voice
1. Capability & Capacity - 15%
2. Methodology - 15%
3. Value for Money - 10%
4. Technical Conformance - 60%

Mobility Non-Price Criteria - 70%
Mobility Price Criteria - 30%

Data Fixed Line Non-Price Criteria - 70%
Data Fixed Line Price Criteria - 30%

Voice Fixed Line Non-Price Criteria - 60%
Voice Fixed Line Price Criteria - 40%","Provision of the following services:
•	Mobility Services - incorporating; smartphones, tablets, integrated messaging, fulfilment, and support.
•	Fixed Voice Services - supply outbound and inbound telephone calls, carrier infrastructure.
•	Fixed Data Services - supply of data connectivity between two or more sites including depots, stations and for train operations",Not applicable,Not applicable,CW2293656,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,12/07/2018,15500000,AUD,Hughes Gravel,48 Forest Hill-Fernvale Road Glenore Grove QLD 4342,YES,NO,OPEN,,Member of Panel,Unlimited,"Experience & Capability - 35%
Plant - 30%
Safety & Environment - 35%",Provision of equipment hire,Not applicable,Not applicable,CW2265067,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTION,5/07/2021,1077929280,JPY,Hitachi Australia Pty Ltd,123 Epping Road North Ryde NSW 2113,NO,NO,CLOSED,,Stand-alone,1,"Mandatory Criteria
1. Tenderers will meet the following mandatory requirements: - Pass/Fail 
Insurance
Registered Professional Engineer of Queensland (RPEQ)
Quality Management
Contractor Safety and Environment Prequalification (minimum Category 2) Certification and Accreditation as detailed in the Specification

Non-Price Criteria
2. Team Capability and Experience - Acceptable/ Unacceptable
3. Methodology and Program - Acceptable/ Unacceptable
4. Ethical Supplier Threshold - Acceptable/ Unacceptable

Price Criteria
5. Price is within budget and represents value for money - Acceptable/ Unacceptable","Supply, testing and commissioning of 16 traction power converters for the two Electric Tilt Trains",Not applicable,Not applicable,CW2292828,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT ACCESSORIES,2/03/2017,9696976.28,AUD,Nomad Digital Pty Ltd,256 Adelaide Terrace Perth WA 6000,YES,NO,OPEN,,,,,,,,CW2249065,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,19/12/2017,8500000,AUD,Joe Wagner Group Pty Ltd,15 Parker Street Drayton QLD 4350,YES,NO,OPEN,,,,,,,,CW2261208,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ALTERNATE TRANSPORT,2/02/2017,8100000,AUD,RJ Willey Transport Pty Ltd,PO Box 406 Deeragun QLD 4818,YES,NO,OPEN,,,,,,,,CW2253737,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/11/2012,7429940,AUD,ABB Australia Pty Ltd,1 Lavarack Avenue Eagle Farm QLD 4009,YES,NO,CLOSED,,,,,,,,CW2278254,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,30/04/2018,6500000,AUD,Joe Wagner Group Pty Ltd,15 Parker Street Drayton QLD 4350,YES,NO,OPEN,,,,,,,,CW2266307,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICE REPAIR COMP,24/10/2017,5500000,AUD,Plasser Australia Pty Ltd   St Mary,2 Plasser Cresent St Marys NSW 2760,YES,NO,CLOSED,,,,,,,,CW2259709,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CLEANING EQUIP & SUP,20/12/2016,4467717,AUD,Flick Pest Control Services,41 Bunya Street Eagle Farm QLD 4009,YES,NO,OPEN,,,,,,,,CW2253768,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",REFRIG & A/C EQUIP,26/07/2018,3913285.63,AUD,Airmaster Australia Pty Ltd,10 Devlan Street Mansfield QLD 4122,YES,NO,OPEN,,,,,,,,CW2266496,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,12/06/2020,3413393.13,AUD,Dassault Systemes Australia Pty Ltd,"Level 8, 190 St Georges Terrace Perth WA 6000",YES,NO,CLOSED,,,,,,,,CW2284076,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER INVENTORY & PARTS,16/03/2020,2860000,AUD,Geofabrics Australasia Pty Ltd,PO Box 684 Sumner Park QLD 4074,YES,NO,OPEN,,,,,,,,CW2280757,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ALTERNATE TRANSPORT,2/02/2017,2600000,AUD,Peter Hogan Transport Pty Ltd,1 Cudumble Road Cumnock NSW 2867,YES,NO,OPEN,,,,,,,,CW2253769,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OVERHEAD LINE EQUIP (OHLE),10/06/2020,1989497,AUD,Schneider Electric (Australia),78 Waterloo Road MacQuarie Park NSW 2113,YES,NO,CLOSED,,,,,,,,CW2283144,,,,,
