Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000", SIGNALLING CONTRACT,28/08/2017,1716377.96,AUD,Stilltec Signalling Services Pty Lt,70-72 Bazeridge Drive Narangba QLD 4504,YES,NO,CLOSED,,,,,,,,CW2259522,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,27/03/2017,1200000,AUD,Virginia Auto Electrical,15 Matheson Street Virginia QLD 4014,YES,NO,CLOSED,,,,,,,,CW2252044,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,13/08/2018,1180000,AUD,AON Risk Services Aust Ltd,GPO Box 65 Brisbane QLD 4001,YES,NO,CLOSED,,,,,,,,CW2268374,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,10/11/2016,1074567,AUD,Informatica Australia Pty Ltd,255 George Street Sydney NSW 2000,YES,NO,CLOSED,,,,,,,,CW2248610,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,16/01/2018,995046,AUD,Jacobs Group (Australia) Pty Ltd,PO Box 3848 South Brisbane QLD 4101,YES,NO,CLOSED,,,,,,,,CW2261823,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,27/02/2017,930000,AUD,OE Elsafe,29 Links Road Eagle Farm QLD 4009,YES,NO,CLOSED,,,,,,,,CW2253626,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,27/07/2021,900000,AUD,iPLAN Consulting Pty Ltd,9 Moore Street Albion QLD 4010,NO,NO,CLOSED,,,,,,,,CW2293620,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT Desktop - SW/HW & Services,30/06/2021,880000,AUD,Accenture Australia Holdings Pty Lt,139 Coronation Drive Milton QLD 4064,NO,NO,OPEN,,,,,,,,CW2292448,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,30/06/2021,880000,AUD,BDO (Qld) Pty Ltd,12 Creek Street Brisbane QLD 4000,NO,NO,OPEN,,,,,,,,CW2292456,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,30/06/2021,880000,AUD,Ernst & Young,1 Eagle Street Brisbane QLD 4000,NO,NO,OPEN,,,,,,,,CW2292462,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,30/06/2021,880000,AUD,RIot Solutions Pty Ltd,PO Box 10087 Brisbane QLD 4000,NO,NO,OPEN,,,,,,,,CW2292470,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,30/06/2021,880000,AUD,Telstra Corporation Limited,275 George Street Brisbane QLD 4000,NO,NO,OPEN,,,,,,,,CW2292472,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,30/06/2021,880000,AUD,ThoughtWorks Australia Pty Ltd,"Level 19, 127 Creek Street Bisbane City QLD 4000",NO,NO,OPEN,,,,,,,,CW2292474,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,2/07/2021,770226.11,AUD,Progress Rail Services,24 Daisy Street Revesby NSW 2212,NO,NO,CLOSED,,,,,,,,4502442097,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL CABLES AND CONDUCTORS,4/07/2021,750000,AUD,NKT Pty Ltd,PO Box 3132 Hendra QLD 4011,NO,NO,OPEN,,,,,,,,CW2291232,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,2/02/2018,641970,AUD,Onset Design Pty Ltd,203-205 Blackburn Road Mount Waverley VIC 3149,YES,NO,OPEN,,,,,,,,CW2263897,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,6/11/2020,526080,AUD,Bluefield AMS Pty Ltd,PO Box 10871 Brisbane QLD 4000,YES,NO,OPEN,,,,,,,,CW2287005,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","RAIL PLANT AND EQUIPMENT (HIRE, MAINTENANCE AND PURCHASE)",14/06/2021,501272,AUD,Sam Technology Engineers Pty Ltd,PO Box 6947 Smithfield NSW 2164,NO,NO,OPEN,,,,,,,,CW2283948,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,12/07/2021,486200,AUD,Karreman Quarries,632 West Mt Cotton Road Mt Cotton QLD 4165,NO,NO,,,,,,,,,4502443314,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAVEL,5/07/2021,462000,AUD,Black & White Cabs,PO Box 1097 Brisbane Airport QLD 4007,NO,NO,,,,,,,,,4502442253,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,2/11/2020,432000,AUD,Data #3 Ltd,PO Box 7879 Waterfront Place QLD 4001,YES,NO,,,,,,,,,CW2287225,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING & DEVELOPMENT,25/06/2020,373350,AUD,QUT Accounts Receivable,88 Musk Avenue  Level 2 Kelvin Grove QLD 4059,YES,NO,,,,,,,,,CW2281902,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,15/01/2019,300000,AUD,Height Dynamics Pty Ltd,PO Box 527 Albion QLD 4010,YES,NO,,,,,,,,,CW2270122,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,20/04/2021,262080,AUD,Red Fox Advisory,PO Box 1240 Brisbane QLD 4000,YES,NO,,,,,,,,,CW2291925,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CLEANING & GARDEN MAINTENANCE,8/06/2021,246000,AUD,Green Property Solutions Pty Ltd,17-19 Soderberg Close Redlynch QLD 4870,NO,NO,,,,,,,,,CW2292398,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,16/01/2019,225000,AUD,Easy Authoring,50 Bridge Street Sydney NSW 2000,YES,NO,,,,,,,,,CW2270143,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,4/06/2021,216000,AUD,ENSCO Rail Australia Pty Ltd,3110 Fairview Park Drive Falls Church VA 22042,NO,NO,,,,,,,,,CW2294494,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,23/07/2021,201168,AUD,Rail Control Systems Australia Pty,136 Exhibition Street Melbourne VIC 3000,NO,NO,,,,,,,,,4502447027,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,13/07/2021,199351,AUD,KPMG,PO Box 2291U Melbourne VIC 3000,NO,NO,,,,,,,,,CW2291512,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,14/07/2021,188484.24,AUD,Metalcorp Steel,20 Fairbairn Place Eagle Farm QLD 4009,NO,NO,,,,,,,,,4502443702,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Facilities Hard Services,1/07/2021,179287.29,AUD,Bartlem Construction Services Pty L,1025 Ridgelands Road Alton Downs QLD 4702,NO,NO,,,,,,,,,CW2293400,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,7/07/2021,170280,AUD,JSG Industrial,PO Box 333 Milperra NSW 2214,NO,NO,,,,,,,,,4502442578,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,15/07/2021,170000,AUD,Tazia Gaisford,24 D'Aguilar Road The Gap QLD 4061,NO,NO,,,,,,,,,CW2292294,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,15/07/2021,165000,AUD,Economic Development Queensland,1 William Street Brisbane QLD 4000,NO,NO,,,,,,,,,4502444031,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,29/07/2021,160959.74,AUD,ABB Australia Pty Ltd,1 Lavarack Avenue Eagle Farm QLD 4009,NO,NO,,,,,,,,,4502450563,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIRE SAF & ENV EQUIP,5/07/2021,145472.8,AUD,J Blackwood & Son Ltd,PO Box 277 Maryborough QLD 4650,NO,NO,,,,,,,,,4502442151,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,20/07/2021,141120,AUD,illion Australia Pty Ltd,PO Box 7405 Melbourne VIC 3004,NO,NO,,,,,,,,,CW2294605,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,12/07/2021,138020.59,AUD,Axicom Pty Ltd,110 Pacific Highway St Leonards NSW 2065,NO,NO,,,,,,,,,4502443215,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICITY T POWER,12/07/2021,133926.09,AUD,Axicom Pty Ltd,110 Pacific Highway St Leonards NSW 2065,NO,NO,,,,,,,,,4502443261,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAVEL,5/07/2021,132000,AUD,Yellow Cabs Australia Pty Ltd,PO Box 1099 Coorparoo DC QLD 4102,NO,NO,,,,,,,,,4502442254,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,6/07/2021,130524.9,AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502442348,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICITY T POWER,12/07/2021,130162.23,AUD,Axicom Pty Ltd,110 Pacific Highway St Leonards NSW 2065,NO,NO,,,,,,,,,4502443234,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,20/07/2021,123200,AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,4502445786,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,21/07/2021,114289.03,AUD,Humes,59 Sugarmill Road Pinkenba QLD 4008,NO,NO,,,,,,,,,4502446300,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,21/08/2020,109360,AUD,Dynata,131 York Street Sydney NSW 2000,YES,NO,,,,,,,,,CW2285628,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,30/06/2020,91500,AUD,Vieple Pty Ltd,25 Claremont Street South Yarra VIC 3141,YES,NO,,,,,,,,,CW2284826,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,27/07/2021,89452.96,AUD,Tree Acq Pty Ltd,Po Box 165 Doonside NSW 2767,NO,NO,,,,,,,,,4502447477,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,19/07/2021,88000,AUD,Rail Industry Safety & Standards,Terminal Complex Canberra Airport ACT 2604,NO,NO,,,,,,,,,4502444275,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,26/07/2021,85689.56,AUD,SKF Australia Pty Ltd,12 Navigator Place Hendra QLD 4011,NO,NO,,,,,,,,,4502447201,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAVEL,5/07/2021,72655,AUD,Suncoast Cabs Pty Ltd,PO Box 9218 Marcoola QLD 4564,NO,NO,,,,,,,,,4502442251,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,30/07/2021,68200,AUD,Maurice Blackburn Pty Ltd,"Level 10, 456 Lonsdale Street Melbourne VIC 3000",NO,NO,,,,,,,,,4502450891,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,30/07/2021,68200,AUD,Maurice Blackburn Pty Ltd,"Level 10, 456 Lonsdale Street Melbourne VIC 3000",NO,NO,,,,,,,,,4502450893,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAVEL,5/07/2021,66000,AUD,Gympie Golden City Cabs Pty Ltd,PO Box 551 Gympie QLD 4570,NO,NO,,,,,,,,,4502442252,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SUBSCRIPTIONS,7/07/2021,66000,AUD,Tracksafe Foundation Ltd,PO Box 4608 Kingston ACT 2604,NO,NO,,,,,,,,,4502442723,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,28/07/2021,56842.5,AUD,Sascan Advisory Pty Ltd,PO Box 421 East Maitland NSW 2323,NO,NO,,,,,,,,,4502450455,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/07/2021,48045.25,AUD,CQ Crane Hire,97 Kent Street Rockhampton QLD 4700,NO,NO,,,,,,,,,4502442556,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/07/2021,47741.1,AUD,ABB Australia Pty Ltd,1 Lavarack Avenue Eagle Farm QLD 4009,NO,NO,,,,,,,,,4502441828,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",9/07/2021,47553.35,AUD,Karreman Quarries,632 West Mt Cotton Road Mt Cotton QLD 4165,NO,NO,,,,,,,,,4502443029,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Other Direct Professional Services,19/05/2021,45094,AUD,Environmental Earth Sciences Qld,PO Box 3207 Newstead QLD 4006,NO,NO,,,,,,,,,CW2294707,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,28/07/2021,44946.39,AUD,DLPC Pty Ltd,PO Box 251 Capalaba QLD 4157,NO,NO,,,,,,,,,4502450454,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,12/07/2021,44000,AUD,Wurth Australia Ltd,2/1 Healy Road Dandenong South VIC 3175,NO,NO,,,,,,,,,4502443158,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,12/07/2021,43725,AUD,Nivek Industries Pty Ltd,15 Mathry Close Singleton NSW 2330,NO,NO,,,,,,,,,4502443147,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PIPE TUBE HOSE & FIT,29/07/2021,41025.6,AUD,FRC Pipes,46 Randle Road Meeandah QLD 4008,NO,NO,,,,,,,,,4502450689,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,7/07/2021,39435,AUD,VSL Australia Pty Ltd,6 Pioneer Avenue Thornleigh NSW 2120,NO,NO,,,,,,,,,4502442726,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,1/07/2021,37884,AUD,Voestalpine SIGNALING Siershahn Gmb,160 Hartley Road Smeaton Grange NSW 2567,NO,NO,,,,,,,,,4502441642,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,5/07/2021,33000,AUD,Ergon Energy Telecommunications Pty,825 Ann Street Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502442245,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/07/2021,33000,AUD,Pitcher Partners,GPO Box 1144 Brisbane QLD 4001,NO,NO,,,,,,,,,4502442951,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OPSTRVTRAIN KSR,20/01/2021,32960.15,AUD,Hanby Welding & Engineering Pty Ltd,PO Box 401 Portsmith QLD 4870,YES,NO,,,,,,,,,4502391103,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,29/07/2021,32422.19,AUD,ABB Australia Pty Ltd,1 Lavarack Avenue Eagle Farm QLD 4009,NO,NO,,,,,,,,,4502450586,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,20/07/2021,31489.37,AUD,All Rail Services Pty Ltd,37 Benjul Drive Beenleigh QLD 4207,NO,NO,,,,,,,,,4502444529,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,5/07/2021,30855,AUD,Mode,PO Box 348 Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502442268,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,22/01/2021,29588.91,AUD,Ground Support Systems (Australia),200 Adelaide Terrace East Perth WA 6004,YES,NO,,,,,,,,,4502392009,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FUELS LUBES AND OILS,19/07/2021,28576,AUD,Imtram Pty Ltd,PO Box 4460 Ringwood VIC 3134,NO,NO,,,,,,,,,4502444330,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/07/2021,28462.5,AUD,Powerbox Australia Pty Ltd,PO Box 128 Mount Kuring-Gai NSW 2080,NO,NO,,,,,,,,,4502441813,,,,,
