Line Section,Km,Road Name,Type,Vehicular Protection,Signs,Open Status,Responsible Authority
501,10.04,Sherwood Road,Public Level,Half Boomgates,X,Open,LGA
502,10.26,Wacol Station Road,Public Level,Half Boomgates,,Open,LGA
502,27.68,,Occupation,,,Open,PRI
502,31.36,Pipe Work Access Road,Occupation,Half Boomgates,,Open,PRI
505,37.98,Pedestrian Emergency Access,QR,,,Open,QR
708,40.673,Wulkuraka Station Pedestrian Access,Pedestrian,,,Open,QR
709,43.16,Karrabin - Rosewood Road,Public Level,Half Boomgates,,Open,LGA
709,43.34,Karrabin Station Pedestrian Access,Pedestrian,,,Open,QR
709,46.09,Redbank Road,Public Level,Half Boomgates,,Open,MRD
709,47.09,To Buckley Road,Public Level,Signs,X S,Open,LGA
709,47.78,Station Pedestrian Access,Pedestrian,Nil,,Open,QR
709,48.2,Haigalea - Amberley Road,Public Level,Half Boomgates,,Open,MRD
709,50.01,Thagoona - Haigalea Road,Public Level,Half Boomgates,,Open,LGA
709,51.87,Thagoona Station Pedestrian Access,Pedestrian,,,Open,QR
314,55.3,Emergency Crossing,Public Level,Nil,,Open,QR
314,56.08,John Street - Ipswich Rosewood Road,Public Level,Half Boomgates,,Open,MRD
MAYNARD YARD,,,,,,,
860,0.32,ICB On Ramp Pier 6 Construction,QR,Nil,,Proposed,QR
,,Access Road,,,,,
NORTH COAST LINE,,,,,,,
820,0.311,QR Maintenance Road,QR,Signs,S,Open,QR
820,1.21,QR,QR,Nil,,Open,QR
820,1.9,,QR,,,Open,QR
820,3.29,Campbell Street,Public Level,Half Boomgates,,Open,LGA
820,3.56,ICB On Ramp Pier 7 Construction,QR,Nil,,Proposed,QR
,,Access Road,,,,,
820,3.654,,QR,Signs,X S,Open,QR
820,3.878,,QR,Signs,X S,Open,QR
313,4.36,,Pedestrian,Nil,,Open,QR
313,4.6,,QR,Nil,,Open,QR
823,11.105,QR Maintenance Road,QR,Half Boomgates,,Open,QR
823,11.39,Northgate Road,Public Level,Half Boomgates,,Open,LGA
823,13.34,Bilsen Road,Public Level,Half Boomgates,,Open,LGA
823,14.44,Newman Road,Public Level,Half Boomgates,,Open,LGA
823,17.39,Sandgate Road,Public Level,Half Boomgates,X,Open,LGA
823,19.81,Telegraph Road,Public Level,Half Boomgates,,Open,MRD
823,23.38,South Pine Road,Public Level,Half Boomgates,,Open,LGA
823,24.72,,QR,Nil,,Open,QR
824,28.74,Todd's Road,Public Level,Half Boomgates,X,Open,LGA
824,28.98,QR Pedestrian Access,QR,,,Open,QR
824,29.83,,QR,,,Open,QR
824,30.57,Mackie Road,Public Level,Half Boomgates,X PWB,Open,LGA
824,41.52,Rowley Road,Public Level,Half Boomgates,X,Open,LGA
824,47.53,Station Road,Public Level,Half Boomgates,X,Open,PRI
824,49.03,Oakhurst Entrance To Private Property,Occupation,Signs,X S,Open,PRI
824,49.67,Mt Bevan Road,Public Level,Half Boomgates,X G,Open,LGA
400,61.682,Limestone Road (Toorbul Road),QR,Nil,,Open,LGA
400,65.116,QR Maintenance Road,QR,Signs,S,Open,QR
400,66.342,Property Access Road,Occupation,Flashing Lights,,Open,PRI
400,69.842,Property Access Road,Occupation,Signs,X S,Open,PRI
400,76.566,Beerburrum,Public Level,Half Boomgates,,Open,LGA
400,76.747,Mainline Street (Kilcoy- Beerwah,Public Level,Half Boomgates,,Open,LGA
,,Road),,,,,
400,78.947,Beerwah Station Pedestrian Access,Pedestrian,,,Open,QR
400,82.36,Detsundra Street,Public Level,Half Boomgates,,Open,MRD
400,82.49,,Pedestrian,,,Proposed,QR
400,82.5,,QR,,,Proposed,QR
400,82.525,,QR,,,Proposed,QR
400,82.6,,Pedestrian,,,Proposed,QR
400,83.035,Gympie Street,Public Level,Signs,X S,Open,LGA
400,85.645,,QR,Signs,X S,Open,QR
400,86.324,,QR,Signs,S,Open,QR
400,87.135,QR Maintenance Road,QR,Signs,X S,Open,QR
400,87.813,Bray Road,Public Level,Half Boomgates,,Open,LGA
400,89.44,QR Maintenance Road,QR,Signs,X S,Open,QR
PINKENBA BRANCH,,,,,,,
529,1.664,Kitchener Road (Zillman Road),Public Level,Half Boomgates,,Open,LGA
529,2.448,Eagle Farm Racecourse Entrance,Occupation,Nil,,Open,PRI
529,3.237,Racetrack Stabling Area Pedestrian,Pedestrian,,,Open,QR
,,Access,,,,,
529,3.287,Nudgee Road,Public Level,Half Boomgates,X,Open,LGA
530,4.3,Eagle Farm Station Pedestrian Access,Pedestrian,Nil,,Open,QR
530,5.004,Schneider Road,Occupation,Signs,T,Open,PRI
530,6.03,Military Access Road,Occupation,Nil,,Open,PRI
530,6.47,Sugar Mill Road,Public Level,Flashing Lights,,Open,LGA
530,7.015,Randle Road,Public Level,Flashing Lights,PWB,Open,LGA
978,7.78,Pinkenba Balloon Loop Access Road,QR,Signs,S,Open,QR
PINKENBA YARD,,,,,,,
323,7.48,Eagle Farm Road,Public Level,Flashing Lights,,Open,LGA
323,8.39,(On Quarantine Siding),Occupation,Signs,X S,Open,QR
323,8.41,(On Pinkenba Balloon Loop and BP,Occupation,,,Open,LGA
,,Siding),,,,,
323,8.69,Engira Street (On BP Siding),Public Level,Signs,X S,Open,LGA
323,8.98,Radio Street (On Pinkenba Balloon,Public Level,Signs,X S T,Open,LGA
,,Loop),,,,,
