control,from,to,freight up pass to pass,freight up pass to stop,freight up start to pass,freight up start to stop,freight down pass to pass,freight down pass to stop,freight down start to pass,freight down start to stop,cattle pass to pass,cattle pass to stop,cattle start to pass,cattle start to stop,coal pass to pass,coal pass to stop,coal start to pass,coal start to stop,freight 60k pass to pass,freight 60k pass to stop,freight 60k start to pass,freight 60k start to stop,freight 80k pass to pass,freight 80k pass to stop,freight 80 start to pass,freight 80k start to stop,tilt train up pass to pass,tilt train up pass to stop,tilt train up start to pass,tilt train up start to stop,tilt train down pass to pass,tilt train down pass to stop,tilt train down start to pass,tilt train down start to stop,livestock up pass to pass,livestock down pass to pass
Brisbane Far West,Bowenville,Koomi,,,,,,,,,12,14,15,17,13,15,16,18,12,14,15,17,,,,,,,,,,,,,,
Brisbane Far West,Bowenville,Malu,,,,,,,,,10,12,13,15,12,14,15,17,10,12,13,15,,,,,,,,,,,,,,
Brisbane Far West,Brigalow,Chinchilla,,,,,,,,,,,,,,,,21,23,24,26,,,,,,,,,,,,,,,
Brisbane Far West,Brigalow,Warra,,,,,,,,,20,22,23,25,18,20,21,23,18,20,21,23,,,,,,,,,,,,,,
Brisbane Far West,Brookstead,Millmerran,,,,,,,,,,,,,,,,,44,46,47,49,44,46,47,49,44,45,46,47,44,45,46,47,,
,Brookstead,Pittsworth,,,,,,,,,,,,,,,,,45,47,48,50,45,47,48,50,45,46,47,48,45,46,47,48,,
,Brookstead,Yandilla,,,,,,,,,,,,,,,,,22,23,23,25,22,23,23,25,22,23,23,24,22,23,23,24,,
,Bubialo,Longford Creek,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bullock Creek,Lyndbrook,,,,,,,,,,,,,,,,,,,,,,,,,30,31,32,33,40,41,42,43,,
,Bundaberg,Meadowvale,16,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bungalien,Flynn,11,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bungunya,Talwood,,,,,,,,,,,,,,,,,28,30,31,33,28,30,31,33,,,,,,,,,,
,Bungunya,Toobeah,,,,,,,,,,,,,,,,,28,30,31,33,28,30,31,33,,,,,,,,,,
,Burngrove,Tolmies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
,Burra,Torrens Ck,21,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cairns,Edgehill,9,11,12,14,9,11,12,14,,,,,,,,,,,,,,,,,10,11,12,13,9,10,11,12,,
,Calen,Yalboroo,13,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cambooya,Greenmount,,,,,,,,,,,,,,,,,14,16,17,19,14,16,17,19,14,15,16,17,14,15,16,17,,
,Cambooya,Wyreema,,,,,,,,,,,,,,,,,14,16,17,19,14,16,17,19,14,15,16,17,14,15,16,17,,
,Cannington Jcn,Oonoomurra,7,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capella,Retro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18
,Cardwell,Kennedy,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carmila,Orkabie,9,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carrington Cotton Siding,Goondiwindi,,,,,,,,,,,,,,,,,19,21,22,24,19,21,22,24,13,14,15,16,13,14,15,16,,
,Carrington Cotton Siding,Kurumbul,,,,,,,,,,,,,,,,,15,17,18,20,15,17,18,20,14,15,16,17,14,15,16,17,,
,Ch. Towers,Southern Cross,25,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Charleville,Arabella,,,,,,,,,,,,,26,28,29,31,26,28,29,31,,,,,,,,,,,,,,
Brisbane Far West,Charleville,Westgate,,,,,,,,,,,,,,,,25,27,28,30,,,,,,,,,,,,,,,
Brisbane Far West,Cheepie,Cooladdi,,,,,,,,,75,77,78,80,,,,75,77,78,80,,,,,,,,,,,,,,,
Brisbane Far West,Cheepie,Coolbinga,,,,,,,,,65,67,68,70,,,,65,67,68,70,,,,,,,,,,,,,,,
Brisbane Far West,Chinchilla,Brigalow,,,,,,,,,25,27,28,30,20,22,23,25,20,22,23,25,,,,,,,,,,,,,,
Brisbane Far West,Chinchilla,Rywung,,,,,,,,,,,,,,,,20,22,23,25,,,,,,,,,,,,,,,
,Chorregon,Dillcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,40
,Clifton,Hendon,,,,,,,,,,,,,,,,,21,23,24,26,21,23,24,26,21,22,23,24,21,22,23,24,,
