control,from,to,freight up pass to pass,freight up pass to stop,freight up start to pass,freight up start to stop,freight down pass to pass,freight down pass to stop,freight down start to pass,freight down start to stop,cattle pass to pass,cattle pass to stop,cattle start to pass,cattle start to stop,coal pass to pass,coal pass to stop,coal start to pass,coal start to stop,freight 60k pass to pass,freight 60k pass to stop,freight 60k start to pass,freight 60k start to stop,freight 80k pass to pass,freight 80k pass to stop,freight 80 start to pass,freight 80k start to stop,tilt train up pass to pass,tilt train up pass to stop,tilt train up start to pass,tilt train up start to stop,tilt train down pass to pass,tilt train down pass to stop,tilt train down start to pass,tilt train down start to stop,livestock up pass to pass,livestock down pass to pass
Brisbane Far West,Jackson,Yuleba,,,,,,,,,28,30,31,33,,,,32,34,35,37,,,,,,,,,,,,,,,
Brisbane Far West,Jandowae,Baigin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jericho,Alice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,34
Brisbane Far West,Jondaryan Coal Siding,Malu,,,,,,,,,4,6,7,9,5,7,8,10,4,6,7,9,,,,,,,,,,,,,,
Brisbane Far West,Jondaryan Coal Siding,Oakey,,,,,,,,,20,22,23,25,22,24,25,27,16,18,19,21,,,,,,,,,,,,,,
,Julago,Stuart Meatworks SDG,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julago,Sun Metals Junction,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julia Ck,Gilliat,39,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jurema,Capella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25
,Kaili,QNIP01,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kalarka,Elalie,15,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kamma,Woree QRX SDG,10,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karara,Gore,,,,,,,,,,,,,,,,,29,31,32,34,29,31,32,34,19,20,21,22,19,20,21,22,,
,Karara,Thane,,,,,,,,,,,,,,,,,31,33,34,36,31,33,34,36,31,32,33,34,31,32,33,34,,
,Karin,Clermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,22
Brisbane West,Karrabin,Walloon,,,,,,,,,5,6,6,7,5,6,6,7,5,6,6,7,,,,,,,,,,,,,,
Brisbane West,Karrabin,Wulkaraka,,,,,,,,,2,3,3,4,2,3,3,4,2,3,3,4,,,,,,,,,,,,,,
,Kennedy,Bilyana,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Kingsthorpe,Gowrie,,,,,,,,,15,17,18,20,16,18,19,21,13,15,16,18,,,,,,,,,,,,,,
Brisbane Far West,Kingsthorpe,Oakey,,,,,,,,,,,,,17,19,20,22,12,14,15,17,,,,,,,,,,,,,,
,Kinkuna,Elliott,7,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koah,Biboohra,13,15,16,18,15,17,18,20,,,,,,,,,,,,,,,,,15,16,17,18,15,16,17,18,,
,Kooltandra,Ogmore,14,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Koomi,Blaxland,,,,,,,,,13,15,16,18,15,17,18,20,12,14,15,17,,,,,,,,,,,,,,
Brisbane Far West,Koomi,Bowenville,,,,,,,,,15,17,18,20,15,17,18,20,11,13,14,16,,,,,,,,,,,,,,
,Koumala,Yukan QR,11,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Kowguran,Guluguba,,,,,,,,,41,43,44,46,,,,41,43,44,46,,,,,,,,,,,,,,,
Brisbane Far West,Kowguran,Miles,,,,,,,,,,,,,,,,31,33,34,36,,,,,,,,,,,,,,,
Brisbane Far West,Kumbarilla,Kupunn,,,,,,,,,,,,,,,,40,42,43,45,,,,,,,,,,,,,,,
Brisbane Far West,Kumbarilla,Tara,,,,,,,,,,,,,,,,60,62,63,65,,,,,,,,,,,,,,,
,Kunwarara,Princhester,17,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Kupunn,Dalby,,,,,,,,,,,,,,,,30,32,33,35,,,,,,,,,,,,,,,
Brisbane Far West,Kupunn,Kumbarilla,,,,,,,,,,,,,,,,36,38,39,41,,,,,,,,,,,,,,,
,Kuranda,Koah,23,25,26,28,30,32,33,35,,,,,,,,,,,,,,,,,26,27,28,29,26,27,28,29,,
,Kurukan,Rollingstone,14,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kurumbul,Carrington Cotton Siding,,,,,,,,,,,,,,,,,19,21,22,24,19,21,22,24,14,15,16,17,14,15,16,17,,
,Kurumbul,Yelarbon,,,,,,,,,,,,,,,,,21,23,24,26,21,23,24,26,21,22,23,24,21,22,23,24,,
,Kuttabul,Mt. Ossa,12,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane West,Laidley,Forest Hill,,,,,,,,,5,7,8,10,7,9,10,12,5,7,8,10,,,,,,,,,,,,,,
Brisbane West,Laidley,Yarongmulu,,,,,,,,,17,19,20,22,18,20,21,23,17,19,20,22,,,,,,,,,,,,,,
,Lappa,Almaden,65,67,68,70,70,72,73,75,,,,,,,,,,,,,,,,,62,63,64,65,60,61,62,63,,
,Littabella,Flinders,15,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lochnagar,Barcaldine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,36
Brisbane West,Lockyer,Helidon,,,,,,,,,11,13,14,16,14,16,17,19,11,13,14,16,,,,,,,,,,,,,,
Brisbane West,Lockyer,Murphys Creek,,,,,,,,,16,18,19,21,16,18,19,21,16,18,19,21,,,,,,,,,,,,,,
,Longford Creek,Mookarra,13,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Longreach,Darr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,40
,Lyndbrook,Frewhurst,,,,,,,,,,,,,,,,,,,,,,,,,30,31,32,33,40,41,42,43,,
Brisbane Far West,Macalister,Baining,,,,,,,,,15,17,18,20,15,17,15,17,14,16,17,19,,,,,,,,,,,,,,
Brisbane Far West,Macalister,Warra,,,,,,,,,,,,,,,,20,22,23,25,,,,,,,,,,,,,,,
,Mackay,Erakala,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mackay,Walkerston,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malbon,Wammutta,27,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Malu,Bowenville,,,,,,,,,10,12,13,15,13,15,16,18,10,12,13,15,,,,,,,,,,,,,,
Brisbane Far West,Malu,Jondaryan Coal Siding,,,,,,,,,5,7,8,10,5,7,8,10,4,6,7,9,,,,,,,,,,,,,,
,Mamboo,Alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20
,Marathon,Barabon,21,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mareeba,Arriga Junction,35,37,38,40,35,37,38,40,,,,,,,,,,,,,,,,,27,28,29,30,27,28,29,30,,
,Marimo,Malbon,45,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marlborough,Kooltandra,15,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maryborough West,Colton,9,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maryborough West,Maryborough,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maxwelton,Nonda,28,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meadowvale,Avondale,13,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Meandarra,Glenmorgan,,,,,,,,,,,,,,,,34,36,37,39,,,,,,,,,,,,,,,
Brisbane Far West,Meandarra,The Gums,,,,,,,,,,,,,,,,48,50,51,53,,,,,,,,,,,,,,,
,Merinda,QNIP02,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Miles,Columboola,,,,,,,,,20,22,23,25,20,22,23,25,20,22,23,25,,,,,,,,,,,,,,
Brisbane Far West,Miles,Drillham,,,,,,,,,25,27,28,30,,,,25,27,28,30,,,,,,,,,,,,,,,
Brisbane Far West,Miles,Kowguran,,,,,,,,,31,33,34,36,,,,31,33,34,36,,,,,,,,,,,,,,,
,Millmerran,Brookstead,,,,,,,,,,,,,,,,,44,46,47,49,44,46,47,49,44,45,46,47,44,45,46,47,,
,Millmerran,Yandilla,,,,,,,,,,,,,,,,,22,23,23,24,22,23,23,24,22,22,23,23,22,22,23,23,,
,Mingela,Sellheim,34,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miriam Vale,Bororen,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Mitchell,Bongo,,,,,,,,,23,25,26,28,23,25,26,28,23,25,26,28,,,,,,,,,,,,,,
Brisbane Far West,Mitchell,Womalilla,,,,,,,,,34,36,37,39,,,,27,29,30,32,,,,,,,,,,,,,,,
,Mookarra,Bowen Junction,10,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moonda,Karin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25
,Morella,Rimbanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,26
Brisbane Far West,Morven,Angellala,,,,,,,,,24,26,27,29,,,,24,26,27,29,,,,,,,,,,,,,,,
Brisbane Far West,Morven,Dulbydilla,,,,,,,,,,,,,31,33,34,36,31,33,34,36,,,,,,,,,,,,,,
,Moselle,Richmond,29,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mt Surprise,Einasleigh,,,,,,,,,,,,,,,,,,,,,,,,,162,163,164,165,102,103,104,105,,
,Mt. Ossa,Calen,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Muckadilla,Amby,,,,,,,,,21,23,24,26,,,,22,24,25,27,,,,,,,,,,,,,,,
Brisbane Far West,Muckadilla,Hodgson,,,,,,,,,25,27,28,30,25,27,28,30,25,27,28,30,,,,,,,,,,,,,,
,Mumu,Marathon,36,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mundoo,Innisfail,11,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Mungallala,Amboola,,,,,,,,,25,27,28,30,25,27,28,30,25,27,28,30,,,,,,,,,,,,,,
Brisbane Far West,Mungallala,Dulbydilla,,,,,,,,,21,23,24,26,,,,22,24,25,27,,,,,,,,,,,,,,,
,Mungar,Yengarie,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mungunburra,Thalanga,9,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane West,Murphys Creek,Holmes,,,,,,,,,20,22,23,25,20,22,23,25,20,22,23,25,,,,,,,,,,,,,,
Brisbane West,Murphys Creek,Lockyer,,,,,,,,,15,17,18,20,17,19,20,22,15,17,18,20,,,,,,,,,,,,,,
,Mutarnee,Bambaroo,14,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nambour,Yandina,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nelia,Quarrells,32,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Netherby,Tiaro,7,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Netley,Miriam Vale,11,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nightjar,Deeragun,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nobby,Clifton,,,,,,,,,,,,,,,,,10,12,13,15,10,12,13,15,10,11,12,13,10,11,12,13,,
,Nobby,Greenmount,,,,,,,,,,,,,,,,,13,15,16,18,13,15,16,18,13,14,15,16,13,14,15,16,,
,Nogoa,Emerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
,Nome,Julago,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nonda,Nelia,40,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noondale,Thallon,,,,,,,,,,,,,,,,,31,32,32,34,31,31,33,33,,,,,,,,,,
,Noondoo,Noondale,,,,,,,,,,,,,,,,,31,32,33,33,31,31,32,34,,,,,,,,,,
,Noondoo,Thallon,,,,,,,,,,,,,,,,,62,64,65,67,62,64,65,67,,,,,,,,,,
,North Arm,Eumundi,4,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,OFF,WYR,,,,,,,,,,,,,,,,36,37,37,38,,,,,,,,,,,,,,,
Brisbane Far West,Oakey,Jondaryan Coal Siding,,,,,,,,,16,18,19,21,20,22,23,25,16,18,19,21,,,,,,,,,,,,,,
Brisbane Far West,Oakey,Kingsthorpe,,,,,,,,,15,17,18,20,21,23,24,26,15,17,18,20,,,,,,,,,,,,,,
,Ogmore,Wumalgi,15,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oonoomurra,Cloncurry,25,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oonoonba,Townsville Fork Points,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oorindi,Undina,22,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orkabie,Ilbilbie,14,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Owanyilla,Mungar,11,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parana,Gladstone,11,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parkhurst,The Caves,12,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Partington,Stuart,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paterson,Gundiah,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pentland,Warrigal,24,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pine Hill,Mamboo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16
,Pioneer,Barratta,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pioneer,Pioneer Sugar Mill,20,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pittsworth,Brookstead,,,,,,,,,,,,,,,,,40,42,43,45,40,42,43,45,40,41,42,43,40,41,42,43,,
,Pittsworth,Wyreema,,,,,,,,,,,,,,,,,55,57,58,60,55,57,58,60,55,56,57,58,55,56,57,58,,
,Pombel,Ingham,15,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pomona,Cooran,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portsmith,Cairns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prairie,Tindo,25,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Princhester,Marlborough,10,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proserpine,Bubialo,20,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purono,Kurukan,12,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pymurra,Cannington Jcn,14,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QNIP01,Wathana,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QNIP02,Durroburra,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quarrells,Julia Ck,34,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Quilpie,Coolbinga,,,,,,,,,55,57,58,60,,,,55,57,58,60,,,,,,,,,,,,,,,
Brisbane West,Rangeview,Harlaxton,,,,,,,,,4,6,7,9,6,8,9,11,4,6,7,9,,,,,,,,,,,,,,
Brisbane West,Rangeview,Spring Bluff,,,,,,,,,21,23,24,26,29,31,32,34,21,23,24,26,,,,,,,,,,,,,,
,Redlynch,Stoney Creek,35,37,38,40,40,42,43,45,,,,,,,,,,,,,,,,,28,29,30,31,26,27,28,29,,
,Reid River,Woldston,14,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retro,Moonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
,Richmond,Gemoka,35,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rifle Ck,Mt Isa,44,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rimbanda,Chorregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,27
,Rockhampton,Glenmore Junction,12,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rocklands,Rockhampton,10,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rollingstone,Mutarnee,16,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Roma,Blythdale,,,,,,,,,20,22,23,25,25,27,28,30,25,27,28,30,,,,,,,,,,,,,,
Brisbane Far West,Roma,Hodgson,,,,,,,,,23,25,26,28,,,,25,27,28,30,,,,,,,,,,,,,,,
,Rosella,Mackay,14,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane West,Rosewood,Grandchester,,,,,,,,,12,14,15,17,12,14,15,17,12,14,15,17,,,,,,,,,,,,,,
Brisbane West,Rosewood,Yarrowlea,,,,,,,,,3,4,4,5,3,4,4,5,3,4,4,5,,,,,,,,,,,,,,
Brisbane Far West,Rywung,Chinchilla,,,,,,,,,20,22,23,25,20,22,23,25,20,22,23,25,,,,,,,,,,,,,,
Brisbane Far West,Rywung,Columboola,,,,,,,,,,,,,,,,14,16,17,19,,,,,,,,,,,,,,,
,Saltern,Deroora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,27
,Sarina,Dawlish,9,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sellheim,Ch. Towers,30,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silkwood,Boogan,19,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silverwood,CottonVale,,,,,,,,,,,,,,,,,63,65,66,68,63,65,66,68,63,64,65,66,63,64,65,66,,
,Silverwood,Warwick,,,,,,,,,,,,,,,,,27,29,30,32,27,29,30,32,27,28,29,30,27,28,29,30,,
Brisbane Far West,Sommariva,Angellala,,,,,,,,,,,,,34,36,37,39,34,36,37,39,,,,,,,,,,,,,,
Brisbane Far West,Sommariva,Arabella,,,,,,,,,18,20,21,23,,,,19,21,22,24,,,,,,,,,,,,,,,
,Southern Cross,Balfes Ck,26,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane West,Spring Bluff,Holmes,,,,,,,,,16,18,19,21,22,24,25,27,16,18,19,21,,,,,,,,,,,,,,
Brisbane West,Spring Bluff,Rangeview,,,,,,,,,22,24,25,27,23,25,26,28,22,24,25,27,,,,,,,,,,,,,,
,St. Lawrence,Kalarka,20,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stanthorpe,The Summit,,,,,,,,,,,,,,,,,14,16,17,19,14,16,17,19,14,15,16,17,14,15,16,17,,
,Stanthorpe,Wallangarra,,,,,,,,,,,,,,,,,67,69,70,72,67,69,70,72,67,68,69,70,67,68,69,70,,
,Stoney Creek,Barron Falls,22,24,25,27,30,32,33,35,,,,,,,,,,,,,,,,,25,26,27,28,23,24,25,26,,
,Storth,Nome,13,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stuart,Antill Plains,18,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stuart,Stuart Yard,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stuart Yard,Cluden,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sun Metals Junction,Partington,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sunrise,Cooroy,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talwood,Bungunya,,,,,,,,,,,,,,,,,32,34,35,37,32,34,35,37,,,,,,,,,,
,Talwood,Gradule,,,,,,,,,,,,,,,,,37,39,40,42,37,39,40,42,,,,,,,,,,
,Tamaree,Harvey's Siding,6,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Tara,Kumbarilla,,,,,,,,,,,,,,,,72,74,75,77,,,,,,,,,,,,,,,
Brisbane Far West,Tara,The Gums,,,,,,,,,,,,,,,,45,47,48,50,,,,,,,,,,,,,,,
,Taroborah,Anakie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25
Brisbane West,Thagoona,Walloon,,,,,,,,,4,5,5,6,5,6,6,7,5,6,6,7,,,,,,,,,,,,,,
Brisbane West,Thagoona,Yarrowlea,,,,,,,,,1,2,2,3,2,3,3,4,2,3,3,4,,,,,,,,,,,,,,
,Thalanga,Homestead,16,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thallon,Gradule,,,,,,,,,,,,,,,,,51,53,54,56,51,53,54,56,,,,,,,,,,
,Thallon,Noondoo,,,,,,,,,,,,,,,,,62,64,65,67,62,64,65,67,,,,,,,,,,
,Thallon A,Daymar 1,,,,,,,,,,,,,,,,,25,26,27,28,25,26,27,28,,,,,,,,,,
,Thane,Karara,,,,,,,,,,,,,,,,,28,30,31,33,28,30,31,33,28,29,30,31,28,29,30,31,,
,Thane,Wheatvale,,,,,,,,,,,,,,,,,29,31,32,34,29,31,32,34,30,31,32,33,30,31,32,33,,
,The Caves,Yaamba,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,The Gums,Meandarra,,,,,,,,,,,,,,,,45,47,48,50,,,,,,,,,,,,,,,
Brisbane Far West,The Gums,Tara,,,,,,,,,,,,,,,,48,50,51,53,,,,,,,,,,,,,,,
,The Summit,Cotton Vale,,,,,,,,,,,,,,,,,6,8,9,11,6,8,9,11,6,7,8,9,6,7,8,9,,
,The Summit,Stanthorpe,,,,,,,,,,,,,,,,,14,16,17,19,14,16,17,19,14,16,17,19,14,16,17,19,,
,Theebine,Paterson,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thoopara,Proserpine,17,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tiaro,Owanyilla,10,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tibarri,Oorindi,31,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tindo,Hughenden,43,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tolmies,Comet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,23
,Toobeah,Bungunya,,,,,,,,,,,,,,,,,32,34,35,37,32,34,35,37,,,,,,,,,,
,Toobeah,Goondiwindi,,,,,,,,,,,,,,,,,65,67,68,70,65,67,68,70,,,,,,,,,,
,Toobeah,Gooray,,,,,,,,,,,,,,,,,33,33,34,35,33,33,34,35,,,,,,,,,,
,Toolburra,Hendon,,,,,,,,,,,,,,,,,17,19,20,22,17,19,20,22,17,18,19,20,17,18,19,20,,
,Toolburra,Warwick,,,,,,,,,,,,,,,,,16,18,19,21,16,18,19,21,16,17,18,19,16,17,18,19,,
Brisbane West,Toowoomba,Harlaxton,,,,,,,,,6,8,9,11,15,17,18,20,6,8,9,11,,,,,,,,,,,,,,
Brisbane West,Toowoomba,Toowoomba Marshalling Yard,,,,,,,,,5,5,5,5,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,
Brisbane West,Toowoomba,Toowoomba Passenger Station,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Brisbane Far West,Toowoomba,Willowburn,,,,,,,,,,,,,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
Brisbane West,Toowoomba Marshalling Yard,Toowoomba,,,,,,,,,5,5,5,5,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Brisbane West,Toowoomba Marshalling Yard,Willowburn,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,
Brisbane West,Toowoomba Passenger Station,Harristown,,,,,,,,,,,,,,,,15,16,18,19,20,15,17,18,20,15,16,17,18,15,16,17,18,,
,Torbanlea,Howard,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Torrens Ck,Warreah,25,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Townsville,Townsville Jetty,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Townsville Fork Points,Townsville,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Townsville Fork Points,Townsville New Station,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Townsville Jetty,Stuart,28,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Townsville New Station,Garbutt,15,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Townsville New Station,Townsville,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Traveston,Woondum,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tully,El Arish,19,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Tycanba,Baigin,,,,,,,,,,,,,,,,62,64,65,67,,,,,,,,,,,,,,,
Brisbane Far West,Tycanba,Baining,,,,,,,,,,,,,10,12,13,15,10,12,13,15,,,,,,,,,,,,,,
Brisbane Far West,Tycanba,Dalby,,,,,,,,,,,,,5,7,8,10,5,7,8,10,,,,,,,,,,,,,,
Brisbane Far West,Ulimaroa,Drillham,,,,,,,,,5,7,8,10,7,9,10,12,7,9,10,12,,,,,,,,,,,,,,
Brisbane Far West,Ulimaroa,Dulacca,,,,,,,,,15,17,18,20,,,,18,20,21,23,,,,,,,,,,,,,,,
,Undina,Pymurra,23,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Verdue,Lappa,61,63,64,66,61,63,64,66,,,,,,,,,,,,,,,,,40,41,42,43,40,41,42,43,,
,Walkerston,Marian,18,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wallangarra,Stanthorpe,,,,,,,,,,,,,,,,,65,67,68,70,65,67,68,70,65,66,67,68,65,66,67,68,,
Brisbane West,Walloon,Karrabin,,,,,,,,,5,6,6,7,5,6,6,7,5,6,6,7,,,,,,,,,,,,,,
Brisbane West,Walloon,Thagoona,,,,,,,,,4,5,5,6,5,6,6,7,5,6,6,7,,,,,,,,,,,,,,
Brisbane Far West,Wallumbilla,Blythdale,,,,,,,,,22,24,25,27,,,,29,31,32,34,,,,,,,,,,,,,,,
Brisbane Far West,Wallumbilla,Yuleba,,,,,,,,,22,24,25,27,,,,,,,,,,,,,,,,,,,,,,
,Wammutta,Bungalien,31,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Wandoan,Guluguba,,,,,,,,,,,,,,,,32,34,35,37,,,,,,,,,,,,,,,
Brisbane Far West,Wanko,Coothalla,,,,,,,,,,,,,,,,20,22,23,25,,,,,,,,,,,,,,,
Brisbane Far West,Wanko,Westgate,,,,,,,,,50,52,53,55,,,,50,52,53,55,,,,,,,,,,,,,,,
Brisbane Far West,Warra,Brigalow,,,,,,,,,,,,,,,,17,19,20,22,,,,,,,,,,,,,,,
