Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,29/10/2019,11592.25,AUD,JBE Services,PO Box 5107 Brendale QLD 4500,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,2/07/2019,11580.89,AUD,Track Protection Services Pty Ltd,PO Box 421 Mapleton QLD 4560,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BEARINGS,27/11/2019,11580.8,AUD,SKF Australia Pty Ltd,12 Navigator Place Hendra QLD 4011,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BEARINGS,17/01/2020,11580.8,AUD,SKF Australia Pty Ltd,12 Navigator Place Hendra QLD 4011,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT ACCESSORIES,15/08/2019,11575.47,AUD,Data #3 Limited,67 High Street Toowong QLD 4066,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,30/10/2019,11573.12,AUD,UGL Rail,80 Dorcas Street Melbourne VIC 3205,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,8/01/2020,11556.77,AUD,Pacific Datacom,"Level 2, 1 Chapel Street Blackburn VIC 3130",NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,23/09/2019,11553.3,AUD,The Eventful Group Pty Ltd,6 Glen Street Milsons Point NSW 2061,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,23/09/2019,11550,AUD,Ultimate Australia Transportation,23 Carl Court Hallam VIC 3803,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,3/12/2019,11550,AUD,Rowland Pty Ltd,10 Eagle Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,27/02/2020,11550,AUD,Schunk Carbon Technology Pty Ltd,44 Jellico Drive Scoresby VIC 3179,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,19/03/2020,11550,AUD,Professional Development Training P,201/21 Mary Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,8/06/2020,11550,AUD,Minter Ellison,1 Eagle Street Brisbane Waterfront Place QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,15/06/2020,11550,AUD,Schunk Carbon Technology Pty Ltd,44 Jellico Drive Scoresby VIC 3179,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,10/12/2019,11548.08,AUD,Hastings Deering (Aust) Ltd,PO Box 7946 Garbutt QLD 4814,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,8/10/2019,11543.07,AUD,Key Source Rail Pty Ltd,PO Box 4077 Midvale WA 6056,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,8/08/2019,11528,AUD,Dell Computer Pty Ltd,PO Box 91 Frenchs Forest NSW 2086,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,17/07/2019,11519.2,AUD,ERS Australia,10 Platinum Street Crestmead QLD 4132,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,18/03/2020,11513.51,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/07/2019,11512.19,AUD,RF Industries Pty Ltd,PO Box 340 Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,15/07/2019,11507.56,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ADVERTISING & GRAP,11/09/2019,11473.61,AUD,Mediacom Australia Pty Limited,65 Berry Street North Sydney NSW 2060,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,20/01/2020,11470.8,AUD,Ulex Constructions Pty Ltd,PO Box 1129 Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICES - ELEC INV,15/08/2019,11467.5,AUD,RJ Earthworks Qld Pty Ltd,PO Box 443 Gatton QLD 4343,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,11/02/2020,11465.36,AUD,Sigra Technology,32 Jack Williams Drive Penrith NSW 2750,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/08/2019,11462.22,AUD,Dotmar Engineering,PO Box 79 Acacia Ridge QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/07/2019,11458.7,AUD,Murray Tregonning Sales Pty Ltd,8 Paxton Street Springwood QLD 4127,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PPE SAFETY EQUIPMENT,24/01/2020,11456.5,AUD,Height Dynamics Pty Ltd,PO Box 527 Albion QLD 4010,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,19/03/2020,11451,AUD,Blacktop Asphalt Repairs,27 Third Avenue Barellan Point QLD 4306,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/01/2020,11447.26,AUD,Bassett Furniture Pty Ltd,55A Moxon Road Punchbowl NSW 2196,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,26/09/2019,11440,AUD,DLA Piper Australia,1 Eagle Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,22/05/2020,11440,AUD,Materials Handling Pty Ltd,PO Box 104 Sumner Park QLD 4074,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,24/06/2020,11440,AUD,Lining Systems Australia,PO Box 1285 Black River Townsville QLD 4817,NO,NO,,,,,,,,,,,,,
